Date Made Public,Name & Location,type,Number of Records
8/30/2008,"Southwest Medical Association (Las Vegas, NV)",Thousands of medical charts were found in an abandoned storage unit that was purchaced for $25.,Unknown
11/1/2008,"Veterans Affairs Medical Center (Portland, OR)","Personal information, including some Social Security numbers, of patients at the Veterans Affairs Medical Center in Portland was inadvertently posted on a public Web site.","1,600"
1/31/2009,"HoneyBaked Ham (Indianapolis, IN)",A computer server stocked with credit-card information was stolen from a store. Customers might be at risk.,Unknown
1/10/2005,"George Mason University (Fairfax, VA)","Names, photos, and Social Security numbers of 32,000 students and staff were compromised because of a hacker attack on the university's main ID server.","32,000"
1/18/2005,"Univ. of CA, San Diego (San Diego, CA)",A hacker breached the security of two University computers that stored the Social Security numbers and names of students and alumni of UCSD Extension.,"3,500"
1/22/2005,"University of Northern Colorado (Greeley, CO)","A hard drive was apparently stolen. It contained information on current and former University employees and their beneficiaries -- name, date of birth, SSN, address, bank account and routing number..","30,000"
2/12/2005,"Science Applications International Corp. (SAIC) (San Diego, CA)","On Jan. 25 thieves broke into a SAIC facility and stole computers containing names, SSNs, and other personal information of past and current employees. Stolen information included names, NNS, addresses, phone numbers and records of financial transactions.","45,000 employees"
2/15/2005,"ChoicePoint (Alpharetta, GA)","Bogus accounts established by ID thieves. The initial number of affected records was estimated at 145,000 but was later revised to 163,000. UPDATE (1/26/06): ChoicePoint settled with the Federal Trade Commission for $10 million in civil penalties and $5 million for consumer redress. UPDATE (12/06/06): The FTC announced that victims of identity theft as a result of the data breach who had out-of-pocket expenses can now be reimbursed. The claims deadline is Feb. 4, 2007. UPDATE (06/24/07): Starting Dec. 2006, the FTC began mailing claims forms to victims of the breach. Its Web site provides information about the claims process. Deadline is Aug. 18, 2007. Victims can be reimbursed for out-of-pocket expenses resulting from identity theft connected to the breach. Call (888) 884-8772, or email cpredress@ftc.gov. UPDATE (11/04/07): Since its 2005 data security incident, ChoicePoint has implemented enhancements to its privacy and information security framework including the establishment of an Office of Privacy, Ethics and Compliance to reinforce the responsible use and protection of information at ChoicePoint through policies and procedures, audit and compliance, and outreach and education. Visit www.privacyatchoicepoint.com. UPDATE (1/27/08): Has agreed to pay $10 million to settle a class action lawsuit","163,000"
2/18/2005,"Univ. of Chicago Hospital (Chicago, IL)",Dishonest insider,85
2/25/2005,"Bank of America (Charlotte, NC)",Lost backup tape,"1,200,000"
2/25/2005,"PayMaxx (Miramar, FL)",Exposed online,"25,000"
3/8/2005,"DSW/Retail Ventures (Columbus, OH)",Hacking,"100,000"
3/10/2005,"LexisNexis (Dayton, OH)","Passwords compromised UPDATE (06/30/06): Last week, five men were arrested in connection with this breach.","32,000"
3/11/2005,"Univ. of CA, Berkeley (Berkeley, CA)",Stolen laptop,"98,400"
3/11/2005,"Kaiser Permanente (Oakland, CA)","A disgruntled employee posted informaton on her blog noting that Kaiser Permanente included private patient information on systems diagrams posted on the Web. UPDATE (6/21/2005): The California Department of Managed Health Care fined Kaiser $200,000 for exposing the confidential health information.",140
3/11/2005,"Boston College (Boston, MA)",Hacking,"120,000"
3/12/2005,NV Dept. of Motor Vehicle,Stolen computer. UPDATE: The computer was later recovered.,"[8,900] Not included in total below"
3/20/2005,"Northwestern Univ. (Evanston, IL)",Hacking,"21,000"
3/20/2005,"Univ. of NV., Las Vegas (Las Vegas, NV)",Hacking,"5,000"
3/22/2005,"Calif. State Univ. (Chico, CA)",Hacking,"59,000"
3/23/2005,"Univ. of CA. (San Francisco, CA)",Hacking,"7,000"
3/25/2005,"Purdue University (West Lafayette, IN)","Computers in the College of Liberal Arts' Theater Dept. were hacked, exposing personal information of employees, students, graduates, and business affiliates.","1,200 (not included in total because news stories are not clear if SSNs or financial information were exposed)"
4/1/2005,Georgia DMV,Dishonest insider,"465,000"
4/5/2005,"MCI (Ashburn, VA)",Stolen laptop,"16,500"
4/5/2005,"Univ. of CA, Davis (Davis, CA)","The names and Social Security numbers of students, faculty, visiting speakers and staff may have been compromised when a hacker accessed a main computer.","1,100"
4/6/2005,"University of California, San Francisco","A server in the accounting and personnel departments was hacked. It contained information on 7,000 students, faculty, and staff members. The affected individuals were notified March 23.","7,000"
4/8/2005,Eastern National,Hacker,"15,000"
4/8/2005,"San Jose Med. Group (San Jose, CA)","Stolen computer UPDATE (10/10/07): A former branch manager at the San Jose Medical Group has been sentenced to almost two years in prison for stealing medical records for about 187,000 patients. The accused pleaded guilty in May to one count of health care-related theft after he stole computer equipment from his former employer, including a DVD that contained patients' names, Social Security numbers, medical diagnoses and other information.","187,000"
4/11/2005,"Tufts University (Boston, MA)",Hacking,"106,000"
4/14/2005,"Polo Ralph Lauren/HSBC (New York, NY)","Hacking UPDATE (07/10/07): U.S. Secret Service agents found Ralph Polo Lauren customers' credit card numbers in the hands of Eastern European cyber thieves who created high-quality counterfeit credit cards. Victims are from the U.S., Europe, Asia and Canada, among other places, Several Cuban nationals in Florida were arrested with more than 200,000 credit card account numbers.","180,000"
4/14/2005,Calif. Fastrack,Dishonest Insider,"4,500"
4/15/2005,CA Dept. of Health Services,Stolen laptop,"21,600"
4/18/2005,"DSW/ Retail Ventures (Columbus, OH)",Hacking,"Additional 1,300,000"
4/20/2005,"Ameritrade (Bellevue, NE)",Lost backup tape,"200,000"
4/21/2005,"Carnegie Mellon Univ. (Pittsburg, PA)",Hacking,"19,000"
4/26/2005,Mich. State Univ's Wharton Center,Hacking,"40,000"
4/26/2005,"Christus St. Joseph's Hospital (Houston, TX)",Stolen computer,"19,000"
4/28/2005,Georgia Southern Univ.,Hacking,"""tens of thousands"""
4/28/2005,"Wachovia, Bank of America, PNC Financial Services Group and Commerce Bancorp",Dishonest insiders,"676,000"
4/29/2005,Oklahoma State Univ.,Missing laptop,"37,000"
5/2/2005,"Time Warner (New York, NY)",Lost backup tapes,"600,000"
5/4/2005,CO. Health Dept.,Stolen laptop,"1,600 (families)"
5/5/2005,"Purdue Univ. (West Lafayette, IN)",Hacking,"11,360"
5/7/2005,"Dept. of Justice (Washington, D.C.)",Stolen laptop,"80,000"
5/11/2005,"Stanford Univ. (Stanford, CA)",Hacking,"9,900"
5/12/2005,"Hinsdale Central High School (Hinsdale, IL)",Hacking,"2,400"
5/16/2005,"Westborough Bank (Westborough, MA)",Dishonest insider,750
5/18/2005,Jackson Comm. College (MI),Hacking,"8,000"
5/18/2005,Univ. of Iowa,Hacking,"30,000"
5/19/2005,Valdosta State Univ. (GA),Hacking,"40,000"
5/25/2005,"North Carolina Div. of Motor Vehicles (Greensboro, NC)","On Feb. 10, an employee downloaded addresses of 3.8 million people but was detected and stopped before being able to retrieve more sensitive information such as driver's license numbers.",None
5/26/2005,"Duke Univ. (Durham, NC)",Hacking,"5,500"
5/27/2005,"Cleveland State Univ. (Cleveland, OH).",Stolen laptop UPDATE (12/24): CSU found the stolen laptop,"[44,420] Not included in total below"
5/28/2005,"Merlin Data Services (Kalispell, MT)",Bogus acct. set up,"9,000"
5/30/2005,Motorola,Computers stolen,Unknown
6/6/2005,CitiFinancial,Lost backup tapes,"3,900,000"
6/10/2005,Fed. Deposit Insurance Corp. (FDIC),Not disclosed,"6,000"
6/16/2005,CardSystems,Hacking,"40,000,000"
6/17/2005,Kent State Univ.,Stolen laptop,"1,400"
6/18/2005,Univ. of Hawaii,Dishonest Insider,"150,000"
6/22/2005,Eastman Kodak,Stolen laptop,"5,800"
6/22/2005,East Carolina Univ.,Hacking,250
6/25/2005,Univ. of CT (UCONN),Hacking,"72,000"
6/28/2005,Lucas Cty. Children Services (OH),Exposed by email,900
6/29/2005,Bank of America,Stolen laptop,"18,000"
6/30/2005,Ohio State Univ. Med. Ctr.,Stolen laptop,"15,000"
7/1/2005,"Univ. of CA, San Diego",Hacking,"3,300"
7/6/2005,City National Bank,Lost backup tapes,Unknown
7/7/2005,Mich. State Univ.,Hacking,"27,000"
7/19/2005,Univ. of Southern Calif. (USC),Hacking,"270,000 possibly accessed; ""dozens""exposed"
7/21/2005,Univ. of Colorado-Boulder,"Hacking UPDATE (08/20/2005) The number of students affected was increased from an estimate of 42,000 to 49,000.","49,000"
7/30/2005,San Diego Co. Employees Retirement Assoc.,Hacking,"33,000"
7/30/2005,"Calif. State Univ., Dominguez Hills",Hacking,"9,613"
7/31/2005,Cal Poly-Pomona,Hacking,"31,077"
8/2/2005,Univ. of Colorado,Hacking,"36,000"
8/9/2005,Sonoma State Univ.,Hacking,"61,709"
8/9/2005,Univ. of Utah,Hacking,"100,000"
8/10/2005,Univ. of North Texas,Hacking,"39,000"
8/17/2005,"Calif. State University, Stanislaus",Hacking,900
8/19/2005,Univ. of Colorado,Hacking,"49,000"
8/22/2005,Air Force,Hacking,"33,300"
8/27/2005,"Univ. of Florida, Health Sciences Center/ChartOne",Stolen Laptop,"3,851"
8/30/2005,"J.P. Morgan Chase & Co. (Dallas, TX)",Stolen laptop (Aug. 8) containing personal and financial account information of customers of its private bank.,Unknown
8/30/2005,"Calif. State University, Chancellor's Office",Hacking,154
9/2/2006,Iowa Student Loan (W. Des Moines),"Compact disk containing personal information, including SSNs, was lost when shipped by private courier.","165,000"
9/10/2005,Kent State Univ.,Stolen computers,"100,000"
9/15/2005,Miami Univ.,Exposed online,"21,762"
9/16/2005,"ChoicePointÿ (2nd notice, see 2/15/05) (Alpharetta, GA)",ID thieves accessed; also misuse of IDs & passwords.,"[Total later revised to 163,000 -- see 2/15/05 above]"
9/17/2005,"North Fork Bank, NY",Stolen laptop (7/24/05) with mortgage data,"9,000"
9/19/2005,"Children's Health Council, San Jose CA",Stolen backup tape,"5,000 - 6,000"
9/22/2005,City University of New York,Exposed online,350
9/23/2005,Bank of America,Stolen laptop with info of Visa Buxx users (debit cards),Not disclosed
9/28/2005,RBC Dain Rauscher,Illegitimate access to customer data by former employee,"100+ customers' records compromised out of 300,000"
9/29/2005,Univ. of Georgia,Hacking,"At least 1,600"
10/12/2005,Ohio State Univ. Medical Center,"Exposed online. Appointment information including SSN, DOB, address, phone no., medical no., appointment reason, physician.","2,800"
10/15/2005,Montclair State Univ.,Exposed online,"9,100"
10/21/2005,"Wilcox Memorial Hospital, Hawaii",Lost backup tape,"130,000"
11/1/2005,Univ. of Tenn. Medical Center,Stolen laptop,"3,800"
11/4/2005,"Keck School of Medicine, USC",Stolen computer,"50,000"
11/5/2005,"Safeway, Hawaii",Stolen laptop,"1,400 in Hawaii, perhaps more elsewhere"
11/8/2005,"ChoicePoint (Alpharetta, GA)","Bogus accounts established by ID thieves. Total affected now reaches 163,000 (See Feb. 15 & Sept. 16)","[Total later revised to 163,000 -- see 2/15/05 above]"
11/9/2005,TransUnion,Stolen computer,"3,623"
11/11/2005,Georgia Tech Ofc. of Enrollment Services,"Stolen computer, Theft 10/16/05","13,000"
11/11/2005,Scottrade Troy Group,Hacking,Unknown
11/19/2005,Boeing,Stolen laptop with HR data incl. SSNs and bank account info.,"161,000"
12/1/2005,Firstrust Bank,Stolen laptop,"100,000"
12/1/2005,"Univ. of San Diego (San Diego, CA)","Hacking. Faculty, students and employee tax forms containing SSNs","7,800"
12/2/2005,Cornell Univ.,"Hacking. Names, addresses, SSNs, bank names and acct. numbers.",900
12/6/2005,WA Employment Security Dept.,"Stolen laptop. Names, SSNs and earnings of former employees.",530
12/7/2005,"Idaho State University, Office of Institutional Research (Pocatello, ID) Contact Information Technology Services, (208) 282-2872","ISU discovered a security breach in a server containing archival information about students, faculty, and staff, including names, SSNs, birthdates, and grades.",Unknown
12/12/2005,Sam's Club/Wal-Mart,Exposed credit card data at gas stations.,Unknown
12/16/2005,"La Salle Bank, ABN AMRO Mortgage Group","Backup tape with residential mortgage customers lost in shipment by DHL, containing SSNs and account information. UPDATE (12/20/05): DHL found the lost tape.","[2,000,000] Not included in total below."
12/16/2005,Colorado Tech. Univ.,"Email erroneously sent containing names, phone numbers, email addresses, Social Security numbers and class schedules.","1,200"
12/20/2005,"Guidance Software, Inc.",Hacking. Customer credit card numbers. UPDATE (4/3/07): The FTC came to a settlement agreement and final consent order against Guidance Software.,"3,800"
12/22/2005,Ford Motor Co.,Stolen computer. Names and SSNs of current and former employees.,"70,000"
12/25/2005,Iowa State Univ.,Hacking. Credit card information and Social Security numbers.,"5,500"
12/25/2005,"Ameriprise Financial Inc. (Minneapolis, MN) (877) 267-7408","A laptop was stolen from an employee's car Christmas eve. It contained customers' names and Social Security numbers and in some cases, Ameriprise account information. UPDATE (08/06): The laptop was recovered by local law enforcement in the community where it was stolen. UPDATE (12/11/06): The company settled with the Massachusetts securities regulator in the office of the Secretary of State. Ameriprise agreed to hire an independent consultant to review its policies and procedures for employees' and contractors' use of laptops containing personal information. Ameriprise will pay the state regulator $25,000 for the cost of the investigation.","260,000"
1/1/2005,"U.S. Dept. of Veteran's Affairs (Washington, D.C.)","A laptop being stored in the trunk of a car was stolen in Minneapolis, Minnesota. 2 people later reported identity fraud problems.",66
1/1/2006,"University of Pittsburgh Medical Center, Squirrel Hill Family Medicine","6 Stolen computers. Names, Social Security numbers, birthdates",700
1/2/2006,H&R Block,SSNs exposed in 40-digit number string on mailing label,Unknown
1/9/2006,Atlantis Hotel - Kerzner Int'l,"Dishonest insider or hacking. Names, addresses, credit card details, Social Security numbers, driver's licence numbers and/or bank account data.","55,000"
1/12/2006,People's Bank,"Lost computer tape containing names, addresses, Social Security numbers, and checking account numbers.","90,000"
1/17/2006,"City of San Diego, Water & Sewer Dept. (San Diego, CA)","Dishonest employee accessed customer account files, including SSNs, and committed identity theft on some individuals.",Unknown
1/20/2006,"Univ. Place Conference Center & Hotel, Indiana Univ.",Hacking. Reservation information including credit card account number compromised.,Unknown
1/21/2006,California Army National Guard,"Stolen briefcase with personal information of National Guardsmen including a ""seniority roster,"" Social Security numbers and dates of birth.","""hundreds of officers"""
1/23/2006,Univ. of Notre Dame,"Hackers accessed Social Security numbers, credit card information and check images of school donors.",Unknown
1/24/2006,Univ. of WA Medical Center,"Stolen laptops containing names, Social Security numbers, maiden names, birth dates, diagnoses and other personal data.","1,600"
1/25/2006,"Providence Home Services (Portland, OR)","Stolen backup tapes, laptops and disks containing Social Security numbers, clinical and demographic information. In a small number of cases, patient financial data was stolen. UPDATE:ÿ (9/26/06) Providence Health System and the Oregon Attorney General have filed a settlement agreement.ÿ Providence will provide affected patients with free credit monitoring, offer credit restoration to patients who are victims of identity fraud, and reimburse patients for direct losses that result from the data breach.ÿ The company must also enhance its security programs. UPDATE:ÿ (7/15/08) : Providence Health will pay $100,000 and adhere to a compliance plan under the first ever ""Resolution Agreement"" negotiated by CMS (Centers for Medicare and Medicaid Services of the U.S. Dept. of Health and Human Services) under the HIPAA Privacy and Security Standards. The Corrective Action Plan requires Providence to revamp its security policies to include physical protections for portable devices and off-site transport and storage of backup media. Further, it must implement technical safeguards, such as encryption and password protection. And it must conduct random compliance audits and submit compliance reports to HHS for the next three years","365,000"
1/27/2006,State of RI web site (www.RI.gov),Hackers obtained credit card information in conjunction with names and addresses.,"4,117"
1/31/2006,Boston Globe and The Worcester Telegram & Gazette,Inadvertently exposed. Credit and debit card information along with routing information for personal checks printed on recycled paper used in wrapping newspaper bundles for distribution.,"240,000 potentially exposed"
2/1/2006,Blue Cross and Blue Shield of North Carolina,Inadvertently exposed. SSNs of members printed on the mailing labels of envelopes with information about a new insurance plan.,600
2/4/2006,FedEx,Inadvertently exposed. W-2 forms included other workers' tax information such as SSNs and salaries.,"8,500"
2/9/2006,"Unknown retail merchants, apparently OfficeMax and perhaps others.","Hacking. Debit card accounts exposed involving bank and credit union accounts nationwide (including CitiBank, BofA, WaMu, Wells Fargo). [3/13/06 Crime ring arrested.]","200,000, although total number is unknown."
2/9/2006,Honeywell International,Exposed online. Personal information of current and former employees including Social Security numbers and bank account information posted on an Internet Web site.,"19,000"
2/13/2006,Ernst & Young (UK),Laptop stolen from employee's car with customers' personal information including Social Security numbers.,"38,000 BP employees in addition to Sun, Cisco and IBM employees."
2/15/2006,Dept. of Agriculture,Inadvertently exposed Social Security and tax identification numbers in FOIA request.,"350,000"
2/15/2006,Old Dominion Univ.,Exposed online. Instructor posted a class roster containing names and Social Security numbers to a web site.,601
2/16/2006,"Blue Cross and Blue Shield Jacksonville, FL","Contractor sent names and Social Security numbers of current and former employees, vendors and contractors to his home computer in violation of company policies.A judge today ordered a former computer consultant to reimburse the Jacksonville-based health insurer $580,000 for expenses related to his theft .","27,000"
2/17/2006,"Calif. Dept. of Corrections, Pelican Bay (Sacramento, CA)","Inmates gained access to files containing employees' Social Security numbers, birth dates and pension account information stored in warehouse.",Unknown
2/17/2006,"Mount St. Mary's Hospital (1 of 10 hospitals with patient info. stolen) (Lewiston, NY)","Two laptops containing date of birth, address and Social Security numbers of patients was stolen in an armed robbery in the New Jersey.","17,000"
2/18/2006,Univ. of Northern Iowa,Hacking. Laptop computer holding W-2 forms of student employees and faculty was illegally accessed.,"6,000"
2/23/2006,Deloitte & Touche (McAfee employee information),"External auditor lost a CD with names, Social Security numbers and stock holdings in McAfee of current and former McAfee employees.","9,290"
3/1/2006,"Medco Health Solutions (Columbus, OH)","Stolen laptop containing Social Security numbers for State of Ohio employees and their dependents, as well as their birth dates and, in some cases, prescription drug histories.","4,600"
3/1/2006,OH Secretary of State's Office,"SSNs, dates of birth, and other personal data of citizens routinely posted on a State web site as part of standard business practice.",Unknown
3/2/2006,"Olympic Funding (Chicago, IL)","3 hard drives containing clients names, Social Security numbers, addresses and phone numbers stolen during break in.",Unknown
3/2/2006,"Los Angeles Cty. Dept. of Social Services (Los Angeles, CA)","File boxes containing names, dependents, Social Security numbers, telephone numbers, medical information, employer, W-2, and date of birth were left unattended and unshredded.","[Potentially 2,000,000, but number unknown] Not included in number below."
3/2/2006,Hamilton County Clerk of Courts (OH),"SSNs, other personal data of residents posted on county Web site, were stolen and used to commit identity theft. UPDATE (9/28/06): An identity thief was sentenced to 13 years in prison for the crimes. She stole 100 identities and nearly $500,000. The Web site now blocks access to court documents containing personal information.","[1,300,000] Not included in number below."
3/3/2006,"Metropolitan State College (Denver, CO)",Stolen laptop containing names and Social Security numbers of students who registered for Metropolitan State courses between the 1996 fall semester and the 2005 summer semester.,"93,000"
3/5/2006,"Georgetown Univ. (Washington, D.C.)","Hacking. Personal information including names, birthdates and Social Security numbers of District seniors served by the Office on Aging.","41,000"
3/8/2006,"Verizon Communications (New York, NY)",2 stolen laptops containing employees' personal information including Social Security numbers.,"""Significant number"""
3/8/2006,"iBill (Deerfield Beach, FL)","Dishonest insider or possibly malicious software linked to iBill used to post names, phone numbers, addresses, e-mail addresses, Internet IP addresses, logins and passwords, credit card types and purchase amount online. Credit card account numbers, expiration dates, security codes, and SSNs were NOT included, but in our opinion the affected individuals could be vulnerable to social engineering to obtain such information.","[17,781,462] Not included in total below."
3/11/2006,"CA Dept. of Consumer Affairs (DCA) (Sacramento, CA)","Mail theft. Applications of DCA licensees or prospective licensees for CA state boards and commissions were stolen. The forms include full or partial Social Security numbers, driver's license numbers, and potentially payment checks.","""A small number"""
3/14/2006,"General Motors (Detroit, MI)",Dishonest insider keep Social Security numbers of co-workers to perpetrate identity theft.,100
3/14/2006,"Buffalo Bisons and Choice One Online (Buffalo, NY)","Hacker accessed sensitive financial information including credit card numbers names, passwords of customers who ordered items online.",Unknown
3/15/2006,Ernst & Young (UK),"Laptop lost containing the names, dates of birth, genders, family sizes, Social Security numbers and tax identifiers for current and previous IBM, Sun Microsystems, Cisco, Nokia and BP employees exposed.",Unknown
3/16/2006,"Bananas.com (San Rafael, CA)","Hacker accessed names, addresses, phone numbers and credit card numbers of customers.",274
3/23/2006,"Fidelity Investments (Boston, MA)","Stolen laptop containing names, addresses, birth dates, Social Security numbers and other information of 196,000 Hewlett Packard, Compaq and DEC retirement account customers was stolen.","196,000"
3/24/2006,"CA State Employment Development Division (Sacramento, CA)","Computer glitch sends state Employment Development Division 1099 tax forms containing Social Security numbers and income information to the wrong addresses, potentially exposing those taxpayers to identity theft.","64,000"
3/24/2006,Vermont State Colleges (VT),"Laptop stolen containing Social Security numbers and payroll data of students, faculty and staff associated with the five-college system from as long ago as 2000.","14,000"
3/30/2006,"Marines (Monterey, CA)",Portable drive lost that contains personal information used for research on re-enlistment bonuses.,"207,750"
3/30/2006,"Georgia Technology Authority (Atlanta, GA)",Hacker exploited security flaw to gain access to confidential information including Social Security numbers and bank-account details of state pensioners.,"573,000"
3/30/2006,"Conn. Technical High School System (Middletown, CT)",Social Security numbers of students and faculty mistakenly distributed via email.,"1,250"
4/1/2006,Con Edison (New York),"Con Edison shipped 2 cartridge tapes to JPMorgan Chase in upstate Binghamton so it could input data on behalf of the NY Dept. of Taxation and Finance. One tape was apparently lost containing employees' W-2 data, including names, addresses, SSNs, taxes paid and salaries.","15,000 Con Edison employees"
4/6/2006,"Progressive Casualty Insurance (Mayfield Village, OH)","Dishonest insider accessed confidential information, including names, Social Security numbers, birth dates and property addresses on foreclosure properties she was interested in buying.",13
4/7/2006,"DiscountDomain Registry.com (Brooklyn, NY)","Exposed online. Domain registrants' personal information including usernames, passwords and credit card numbers were accessible online.","""thousands of domain name registrations"""
4/9/2006,"University of Medicine and Dentistry of New Jersey (Newark, NJ)","Hackers accessed Social Security numbers, loan information, and other confidential financial information of students and alumni.","1,850"
4/12/2006,"Ross-Simons (Providence, RI)",Security breach exposed account and personal information of those who applied for its private label credit card. Information exposed includes private label credit card numbers and other personal information of applicants.,Unknown
4/14/2006,"NewTech Imaging (Honolulu, HI)","Records containing the names, Social Security numbers and birth dates of more than 40,000 members of Voluntary Employees Benefit Association of Hawaiiwere illegally reproduced at a copying business before they were to be put onto a compact disc for the State. Police later found the data on a computer that had been confiscated as part of a drug investigation.","40,000"
4/14/2006,"Univ. of South Carolina (Columbia, SC)",Social Security numbers of students were mistakenly e-mailed to classmates.,"1,400"
4/15/2006,"Scott County, IA",The Social Security numbers of people who obtained mortgages in the early 1990s are visible in documents posted on the county's website. The county will redact the information at the individuals' request.,Unknown
4/21/2006,"University of Alaska, Fairbanks (Fairbanks, AK)","A hacker accessed names, Social Security numbers, and partial e-mail addresses of current and former students, faculty, and staff.","38,941"
4/21/2006,"Boeing (Seattle, WA)","A laptop was taken from a Boeing human resources employee at Sea-Tac airport. It contained SSNs and other personal information, including personnel information from the 2000 acquisition of Hughes Space and Communications","3,600 current and former employees"
4/24/2006,"University of Texas' McCombs School of Business (Austin, TX)","Hackers accessed records containing names, biographical information and, in some cases, Social Security numbers and dates of birth of current and prospective students, alumni, faculty members, corporate recruiters and staff members.","197,000"
4/24/2006,"Ohio University (Athens, OH)","Hackers accessed a computer system of the school's alumni relations department that included biographical information and 137,000 Social Security numbers of alum.","300,000"
4/26/2006,"Purdue University (West Lafayette, IN)","Hacker accessed personal information including Social Security numbers of current and former graduate students, applicants to graduate school, and a small number of applicants for undergraduate scholarships.","1,351"
4/26/2006,"Aetna -- health insurance records for employees of 2 members, including Omni Hotels and the Dept. of Defense NAF (Hartford, CT)","Laptop containing personal information including names, addresses and Social Security numbers of Dept. of Defense (35,253) and Omni Hotel employees (3,000) was stolen from an Aetna employee's car.","38,000"
4/27/2006,MasterCard (Potentially UK only),"Though MasterCard refused to say how the breach occurred, fraudsters stole the credit card details of holders in a major security breach.","[2,000] Not included in total below."
4/27/2006,"Long Island Rail Road (Jamaica, NY)","Data tapes containing personal information including names, addresses, Social Security numbers and salary figures of ""virtually everyone"" who worked for the agency was lost by delivery contractor Iron Mountain while enroute. Data tapes belonging to the U.S. Department of Veteran's Affairs may also have been affected.","17,000"
4/28/2006,"Ohio's Secretary of State (Cleveland, OH)","The names, addresses, and Social Security numbers of potentially millions of registered voters in Ohio were included on CD-ROMs distributed to 20 political campaign operations for spring primary election races. The records of about 7.7 million registered voters are listed on the CDs, but it's unknown how many records contained SSNs, which were not supposed to have been included on the CDs. UPDATE (9/15/06): A news report said that some SSNs still remain on the agency's Web site.","""Potentially millions of registered voters"""
4/28/2006,"Dept. of Defense (Washington, DC)",Hacker accessed a Tricare Management Activity (TMA) public server containing personal information about military employees.,Unknown
5/2/2006,"Georgia State Government (Atlanta, GA)","Government surplus computers that sold before their hard drives were erased contained credit card numbers, birth dates, and Social Security numbers of Georgia citizens.",Unknown
